Species,x,y
1,363215.8252,8041567.848
1,352815.8252,8062367.848
1,356815.8252,8104767.848
1,314415.8252,8175167.848
1,356815.8252,8028767.848
1,352015.8252,8029567.848
1,370415.8252,8067967.848
1,435215.8252,7878367.848
1,359215.8252,8084767.848
1,431215.8252,7880767.848
1,350415.8252,8060767.848
1,351215.8252,8126367.848
1,360815.8252,8059967.848
1,356815.8252,8013567.848
1,308815.8252,8183167.848
1,336015.8252,8152767.848
1,348815.8252,8107967.848
1,340015.8252,8051967.848
1,373615.8252,8091167.848
1,262415.8252,8192767.848
1,349615.8252,8131967.848
1,405615.8252,7950367.848
1,351215.8252,8055167.848
1,358415.8252,8086367.848
1,339215.8252,8089567.848
1,354415.8252,8058367.848
1,349615.8252,8063167.848
1,350415.8252,8073567.848
1,360815.8252,8039967.848
1,350415.8252,8022367.848
1,357615.8252,8127967.848
1,353615.8252,8119167.848
1,428015.8252,7880767.848
1,353615.8252,8075167.848
1,350415.8252,8071167.848
1,360015.8252,8084767.848
1,356815.8252,8060767.848
1,352815.8252,8131967.848
1,396815.8252,7967167.848
1,312815.8252,8186367.848
1,371215.8252,8094367.848
1,416815.8252,7897567.848
1,347215.8252,8097567.848
1,296815.8252,8206367.848
1,304815.8252,8175967.848
1,287215.8252,8207167.848
1,358415.8252,8076767.848
1,355215.8252,8063967.848
1,339215.8252,8091167.848
1,281615.8252,8211967.848
1,436815.8252,7877567.848
1,354415.8252,8081567.848
1,320815.8252,8175167.848
1,415215.8252,7898367.848
1,344015.8252,8067167.848
1,403215.8252,7911967.848
1,332015.8252,8088767.848
1,352815.8252,8063167.848
1,419215.8252,7896767.848
1,364015.8252,8083167.848
1,341615.8252,8095167.848
1,332015.8252,8067167.848
1,276015.8252,8206367.848
1,346415.8252,8103167.848
1,352015.8252,8070367.848
1,418415.8252,7897567.848
1,316815.8252,8250367.848
1,284015.8252,8203167.848
1,346415.8252,8067967.848
1,354415.8252,8093567.848
1,356815.8252,8031167.848
1,308015.8252,8175167.848
1,305615.8252,8177567.848
1,348015.8252,8080767.848
1,337615.8252,8089567.848
1,276815.8252,8207167.848
1,336815.8252,8085567.848
1,344815.8252,8080767.848
1,313615.8252,8183967.848
