"x","y","occ"
-1741599.25730393,-3927212.72653677,1
1099769.90485753,-4124054.5660841,1
1527686.94735172,-3978562.77163607,1
1844345.55879743,-3422270.61639362,1
1510570.26565196,-3961446.08993631,1
1690295.42349952,-3482179.00234281,1
1270936.72185521,-2258336.26080941,1
1185353.31335637,-4012796.13503561,1
1621828.69670045,-3653345.81934049,1
1835787.21794754,-3516412.36574234,1
1339403.44865428,-4286663.0422319,1
1818670.53624778,-3268220.48109571,1
1681737.08264963,-3661904.16019037,1
1852903.89964731,-3156962.05004722,1
1733087.12774894,-3576320.75169153,1
1681737.08264963,-3601995.77424118,1
1587595.33330091,-3918654.38568689,1
1031303.17805846,-4218196.31543282,1
1827228.87709766,-3405153.93469385,1
1767320.49114847,-3062820.3006985,1
1082653.22315776,-4286663.0422319,1
1270936.72185521,-4320896.40563143,1
1416428.51630323,-3696137.52358991,1
1211028.33590602,-4132612.90693398,1
1202469.99505613,-4115496.22523422,1
1553361.96990138,-3935771.06738666,1
1767320.49114847,-3687579.18274002,1
1810112.19539789,-3345245.54874466,1
1861462.2404972,-3328128.8670449,1
432219.318566582,-3961446.08993631,1
1236703.35845567,-2010144.37616277,1
1852903.89964731,-3362362.23044443,1
971394.792109269,-4226754.65628271,1
774552.952561939,-4192521.29288317,1
1741645.46859882,-3482179.00234281,1
1031303.17805846,-4295221.38308178,1
1673178.74179975,-3490737.34319269,1
1810112.19539789,-3524970.70659223,1
1801553.85454801,-3542087.388292,1
1750203.80944871,-3619112.45594095,1
1005628.1555088,-4115496.22523422,1
1108328.24570741,-4355129.76903097,1
1382195.1529037,-4149729.58863375,1
1142561.60910695,-4355129.76903097,1
1074094.88230788,-4440713.17752981,1
1005628.1555088,-1659252.40131753,1
1031303.17805846,-4260988.01968224,1
1382195.1529037,-4260988.01968224,1
1039861.51890834,-4175404.6111834,1
1767320.49114847,-3430828.9572435,1
1835787.21794754,-3447945.63894327,1
1219586.6767559,-2052936.08041219,1
988511.473809037,-4372246.45073073,1
1142561.60910695,-4338013.0873312,1
1784437.17284824,-3405153.93469385,1
1313728.42610463,-4260988.01968224,1
1852903.89964731,-3465062.32064304,1
-1459174.00925776,-4021354.47588549,1
1228145.01760579,-2027261.05786254,1
1048419.85975822,-4680346.72132656,1
1792995.51369813,-3473620.66149292,1
1878578.92219696,-3345245.54874466,1
1176794.97250648,-4021354.47588549,1
1519128.60650184,-3875862.68143747,1
1758762.15029859,-3396595.59384397,1
